family,n,edges,initialization_seconds,iterations,transition_seconds,transitions_per_second,feasible_rate,acceptance_rate,linear_extension_valid,estimated_numeric_state_mib
AveDeg(2),128,121,0.0011321629863232374,100000,0.411440814146772,243048.323262182,0.98384,1.0,True,0.0067291259765625
AveDeg(2),512,533,0.004880105843767524,100000,0.44258488807827234,225945.35578068523,0.99666,1.0,True,0.0276641845703125
AveDeg(2),2048,2046,0.0251305028796196,100000,0.4340021170210093,230413.6226025809,0.9991,1.0,True,0.109344482421875
AveDeg(2),8192,8196,0.2004005080088973,100000,0.44863881380297244,222896.45238745827,0.99967,1.0,True,0.43756103515625
MaxInDeg(4),128,257,0.0020797818433493376,100000,0.40658167097717524,245953.0449556685,0.94883,1.0,True,0.0088043212890625
MaxInDeg(4),512,1051,0.008224274031817913,100000,0.43572223000228405,229504.01222236422,0.97943,1.0,True,0.0355682373046875
MaxInDeg(4),2048,4065,0.03119587106630206,100000,0.43664721702225506,229017.8343101708,0.99348,1.0,True,0.1401519775390625
MaxInDeg(4),8192,16416,0.12712667393498123,100000,0.4494349090382457,222501.63035619975,0.9973,1.0,True,0.56298828125
Grid(4),128,220,0.0003228369168937206,100000,0.38211519410833716,261701.18734312363,0.74683,1.0,True,0.00823974609375
Grid(4),512,892,0.0010257598478347063,100000,0.4092881539836526,244326.64133248798,0.76448,1.0,True,0.03314208984375
Grid(4),2048,3580,0.004924270091578364,100000,0.40658256015740335,245952.50706593576,0.74402,1.0,True,0.13275146484375
Grid(4),8192,14332,0.021451068110764027,100000,0.4027544518467039,248290.24121640727,0.667,1.0,True,0.53118896484375
Bipartite(0.2),128,823,0.0013086749240756035,100000,0.4073345600627363,245498.4423236721,0.99271,1.0,True,0.0174407958984375
Bipartite(0.2),512,13152,0.014526796992868185,100000,0.4340689431410283,230378.14978509108,0.99808,1.0,True,0.22021484375
Bipartite(0.2),1024,52285,0.06278137303888798,100000,0.4290689330082387,233062.78387225923,0.99921,1.0,True,0.8368682861328125
